fr,en
bah il est soit presume mort soit dans le cauchemar a linstant t,well he is either presumed dead or in the nightmare right now
apres ils ne savent pas qu'il est alle faire son eme cauchemar avec la cohorte,after they do not know he went to make his same nightmare with the cohort
oui jpense que valor va se renforcer a mort par peur dun mordret saint,yes i think valor will strengthen himself to death for fear of a holy mortet
si il y a une ellipse pensez-vous que morgan va etre une sainte au retour du troisieme cauchemar,if there is an ellipse do you think morgan will be a saint when the third nightmare returns
tener petit fanart de morgan,tener little fanart of morgan
par contre je vous previens evitez de spam les church je suis deja sympa de les autoriser alors n'abusez pas,though i warn you avoid spam church i am already nice to allow them so do not abuse
t'es le rd au mieux,you are the best
change ton pseudo vile creature,change your nick vile creation
pas mal pas mal pour un mortel,not bad for a mortal
bientot jrejoint ton gang tkt,soon join your gang tkt
feyfey,feyfey
il sest auto proclame comme ca,he is self proclaiming like this
il veut pas lacher le morceau celui la,he will not let go of the piece
change ton pseudo,change your nickname
parmi vous,among you
mais je suis la maintenant,but i am here now
et c'est comprehensible,and it is understandable
on te crois mtn tkt y'a juste eu un moment dedoute on va dire,we believe you mtn tkt just had a little bit of pain
il a du repondant,he must have answered
la mienne,mine
je ne suis membre que d'une seule eglise,i am a member of only one church
change toi aussi,change yourself too
le pauvre lui il est tout seul personne veut rejoindre son gang,the poor he is the only person who wants to join his gang
faut juste prier pour qu'il rejoigne pas le cassie church,just pray he does not join the cassie church
ne nous decois pas haut souverain,do not disco us high sovereign
tu fais espoir a tout les lecteurs ss,you hope for all the readers
c'est pas une blague cette fois,it is not a joke this time
c'est reddox meh,it is reddox meh
ptdrrr moi non plus rigole,i am not laughing either
mais pq personne le croit rigole,but nobody thinks he is laughing
boff je te crois pas,i do not believe you
reddox a vu la lumiere divine,reddox saw the divine light
ehe,ehe
et oui,and yes
vous ne m'aurez jamais shibalaugh,you will never shibalaugh me
je suis pour,i am for
quand je lis ce genre de message ca me fait plaisir,when i read this kind of message i am happy
on va devoir emettre des sanctions de type tabassage en meute,we are going to have to put in a pack of beatings
jlui ai dit il ecoute pas,i told him he is not listening
donc maintenant que je suis lance c'est bon,so now that i am throwing it is okay
j'avais du temps,i had time
par manque de temps la je suis en vacances et hier je me suis tape h de routes h de tatouage,for lack of time i am on vacation and yesterday i got stuck h roads h tattoo
vasy je vais te croire mais c juste que tu avait l'air ferme a cette lecture,vasy i am going to believe you but you just looked firm at that reading
fait attention,pay attention
personne n'a confiance en moi,nobody trusts me
meme dragon m'a mp sur sa hier shibalaugh,even dragon has me mp on his yesterday shibalaugh
moi je te crois les ecoute pas,i believe you do not listen to them
tu suis pas les regles la cest pas pro,you do not follow the rules
mais,but
jaime pas ton pseudo la,i do not like your nickname
tu sais que le premier avril est passe,you know the first of april has passed
toi qui lit ss,you who reads
nan jure,nan swears
rdv dans pas longtemps alors nephis,rdv in not long then nephis
ohh y'a des moments on risque quand meme de te voir pop vu les scenes x,ohhh there are times when we risk seeing you pop seeing the scenes x
apres je suis pas du genre a partager l'avance de ma lecture alors vous me verrez vraiment que quand je serai a jour,after i am not the type to share the advance of my reading so you will really see me when i am up to date
hate de voir pop le haut souverain dans ce canal pour reagir a lhistoire shibalaugh,haste to see pop the top sovereign in this channel to react to history shibalaugh
et je sais que la suite n'en sera que meilleure,and i know the rest will be better
en tout cas c'est tres cool pour le moment,anyway it is really cool right now
ascamtao,ascamtao
ce jour est enfin arrive,this day is finally coming
httpstenorcomviewyes-clapping-applause-praise-gif-,httpstenorcomviewyes-clapping-applause-praise-gif-
bon j'ai des trucs a faire cette aprem alors peu de chance que je depasse le chap aujourd'hui,well i have got stuff to do this afterm so little chance i am past the chapter today
j'ai ete touche par la lumiere divine,i was touched by the divine light
httpstenorcomviewomb-pray-prayge-gif-,httpstenorcomviewomb-pray-prayge-gif-
httpstenorcomviewnodding-saturday-night-live-yep-yup-yes-gif-,httpstenorcomviewnodding-saturday-night-live-yep-yup-yes-gif-
httpstenorcomviewquoi-what-shocked-jean-luc-melenchon-gif-,httpstenorcomviewwhat-what-shocked-jean-luc-melenchon-gif-
ce message me fait y croire,this message makes me believe it
ah bah voila quelqu'un qui me croit,there is someone who believes me
mais naaannn reddox enfin ohv,but naaannn reddox finally ohv
httpstenorcomviewsuma-gif-,httpstenorcomviewsuma-gif-
merci mon souverain emiliahappy,thank you my sovereign emiliahappy
j'ai vraiment commence,i really started
et il a raison emiliahappy,and he is right emiliahappy
agawrgurapopcorn,agawrgurapopcorn
je vais pleurer,i will cry
il veut pas me croire,he will not believe me
je suis si peu digne de confiance,i am so untrustworthy
je sais plus si je dois y croire,i do not know if i have to believe it
mais oui putain,but fucking yes
pepewow,pepewow
mais nan il se serait mis a lire ss pour de vrai,but he would have started reading for real
chap sunny est avec nephis et ils affrontent des charognards,chap sunny is with nephis and they face scavengers
il se passe quoi la emiliahappy,what is going on with the emiliahappy
preuve ou fake,proof or fake
donc je me suis lance,so i started
j'avais du temps a perdre avec mes heures de route,i had time to lose with my driving hours
comme si on y croyais tiens,as if we believed it was important
bon moi je retourne a ma lecture de,i am going back to my reading of
je vois pas le futur,i do not see the future
arthur n'a pas atteint son prime,arthur did not get his bonus
genre au dessus de arthur prime,like above arthur prime
nodnod,nodnod
c'est un truc de dingue ce qu'il nous fais la,it is a crazy thing what he does to us
avoue il gere,admits he gere
ouais trop,yeah too much
vraiment mordret la,really bites her
cest parti le retour du goat la,the return of the goat la
sah tu vas te regaler,sah you are going to enjoy
j'ai kiffer le moment,i have had a good time
ah elle est folle la phrase broo,she is crazy
ohyeah,ohyeah
spoil chap apparemment mordret le prince de rien leur souhaitait la bienvenue a crepuscule,spoil chap apparently bit the prince of nothing welcomed them to dusk
ptdrrrrr c'est vrai qu'il peut tout faire lui il est totalement imprevisible,ptdrrrrr it is true that he can do anything to him he is totally invisible
ils vont sortir du cauchemar ca va peter,they are going to get out of the nightmare
genre la ca strouve il a pose une bombe chez sunny on sait pas,like that strove he planted a bomb at sunny's
il fait ce quil veut,he does what he wants
alors lui la,then he is
sunny il arrivait a mentir meme en etant oblige de dire la verite,sunny could lie even if he had to say the truth
bah mordret jle vois vraiment comme sunny au debut sur le rivage mais sans le defaut,bah mordret jle really see as sunny at the beginning on the shore but without default
ouaiiiis vraiment genre meme la il a l'air sincere en parlant a la cohorte mais bordel qu'est ce que ca sonne faux dans un sens je me dis c'est sur il a deja coups d'avances dessus et a tout moment il les a encore manipules meme si il est dans la pire situation mordret il a ce pouvoir de te faire h douter sur tout il est trop fort,yeah really like he looks like he is talking to the cohort but what the fuck is that sounding wrong in a way i am thinking it is about he is already ahead of it and he is been manipulating them all the time even though he is in the worst situation he is got that power to make you doubt everything he is too strong
juste jsp ce mec me fait trop peur,just jsp this guy scares me too much
de memoire ya pas grand chose de plus,memory is not much more
je suis la,i am here
ses plans originaux ouep c'est sur qu'il a de l'ambition apres je sais si ca a changer j'en suis pas encore la catscream,his original plans are sure he has ambition after i know if it has to change i am not yet the catscreen
jsais pas mordret a lair davoir de sacre plan donc ca me surprendrait pas que ca finisse mal entre les deux aussi,i do not know if i am going to let you have a plan so it would not surprise me if it ended up bad between the two too
je l'ai toujours vu comme ca perso,i have always seen him like that
ces deux la se ressemblent beaucoup,these two are very much alike
jpense aussi que mordret et sunny vont ptet devenir allie finalement,jthinks also that mordret and sunny will eventually become
mais pour revenir a ca,but to get back to that
le temps fige a crepuscule quelle dinguerie mordret j'ai l'impression il est trop honnete par contre x,the time frozen at dusk what madness bitrate i feel it is too honest though x
je pense pas fin pour le moment je le vois pas comme ca mais ca se pourrait,i do not think it is end right now i do not see it that way but it could be
sunny et mordret contre cassie et nephis,sunny and biting against cassia and nephis
jvais re-voter je revient,i was going to vote again
oui oui c'etait dans les choix rigole,yes yes it was in the choices laughs
carapace scavenger le goat aussi,she will scavenger the goat too
cest un vote possible la chaise,this is a possible vote the chair
blud a reussit a faire un enfant a effie il merite bien ca,blud managed to make a child effie he deserves it well
jet caster et le dormeur sans nom,jet caster and sleeper without name
moi c'est la chaise de l'ombre mordret sunny,i am the chair of the shadow biting sunny
sa a vote noctis sunny et cassie ici,his vote noctis sunny and cassy here
y'a pas de limite de revote,there is no reveote limit
votes mordret pour moi deja,votes bite for me already
a crepuscule de memoire y'a deux trois trucs oui,a memory twilight there are two three things yes
dans les derniers chaps,in the last chaps
on en apprends sur lui sur la trad la ou pas,we learn about him on the trade or not
nan mais vrm asterion celui de ss il a trop une geule danta final jai jurer,nan but vrm asterion that of ss he has too much a geule danta finale jai swear
j'prie pour que ma theorie soit vraie sunny et mordret ensemble contre le monde nephis ps ca date du volume prince of nothing que je me suis foutu ca en tete et que je l'espere fort x,i pray that my theory will be true sunny and bite together against the world nephis ps it dates from the volume prince of nothing that i have done this to my head and hope it is strong x
comment peut tu dire sa quand asterion existe,how can you say his when asterion exists
ca va etre l'anta le plus important de l'oeuvre,it is going to be the most important piece of work
bah pour moi,well for me
j'espere il aura encore le droit a ses heures de gloire plus loin,i hope he will still have the right to his hours of glory further
yup je comprends en vrai de fou moi le volume prince of nothing je l'ai trouve dingue grace a lui sah,yup i really understand crazy me the volume prince of nothing i found him crazy thanks to him sah
best perso imp,best persono imp
mordret m'a trop trop choque au long de l'oeuvre que meme le manque d'info me retient pas,mordret too shocked me during the work that even the lack of information keeps me from
bah perso mordret je l'adore mais on manque trop d'info dessus pour moi ensuite j'ai evite sunny vu que c'est le mc et qu'avec le manque de changement de pov il est deja 'trop' represente donc j'ai preferer voter persos secondaires puis bah cassie parceque elle fait que de me bluffer sainte c'est sainte et le prince fou c'est parceque les reveals de son plan au sein du cauchemar m'ont choques,bah perso bitert i love it but we lack too much info on it for me then i avoided sunny seeing that it is the mc and that with the lack of change of pov it is already 'too' represent so i preferred to vote secondary persos then bah cassie because it makes that to bluff me holy it is holy and the crazy prince it is because the dreams of his plan within the nightmare shocked me
j'ai hesite entre sunny et jet sur la fin,i hesitated between sunny and throwing at the end
mordret cassie sunny perso,mordret cassie sunny perso
perso j'ai voter - cassie ere - sainte - prince fou j'ai evite d'y ajouter sunny expres,personal i voted - cassia ere - saint - prince mad i avoided adding sunny expres
ca marche merci,it works thanks
dans les annonces globalement,overall
il y a un lien pour sur ce chanel,there is a connection to this chanel
si certains veulent aller voter mordret,if some people want to go vote biteret
y'a un popularity poll sur le serv de g,there is a popularity poll on the g-serv
si jamais y'en a qui veulent,if there is any who want
un truc a vux c'est dur,something is tough
je trouve que c'est trop simple d'aller juste a la fontaine,i think it is too easy to just go to the fountain
tu penses que sunny va faire quoi,you think sunny's going to do what
vrm j'ai explose avec les revelation,vrm i exploded with the revelation
httpstenorcomviewthe-universe-tim-and-eric-mind-blown-mind-blown-meme-mind-explosion-mind-explosion-meme-gif-,httpstenorcomviewthe-universe-tim-and-eric-mind-blown-mind-blown-me-mind-explosion-mind-explosion-meme-gif-
et la sybille aussi j'avoue j'ai pas vu jsuis aveugle shibalaugh,and the sybil too i confess i did not see i am blind shibalaugh
mais le fait que tt sois prevu depuis qu'il sont eveille j'avoue j'ai pas vu venir,but the fact that he is been planned since he is been awake i admit i have not seen him come
je sais pas j'etais pas la,i do not know i was not there
comme si elle connassais deja tt le cauchemard depuis le debut,as if she already knew the nightmare since the beginning
genre j'ai souvent repete c'est bizzare cassie a guide sunny pour qu'il ai certaine memoire precise qui leurs ont permit de survivre dans ce cauchemard c'est sus un peu,like i have often rehearsed it is bizzare cassie has led sunny so that he has certain accurate memory that allowed them to survive in this nightmare it is a little over
j'avais devine pour l'echo de la sybille,i guessed for the sybile echo
j'avais genre - bon guess mais jsuis jamais allez aussi loin,i had like - good paws but i am never going that far
banger celui la,banger that one
j'avoue c drole shibalaugh,i confess that funny shibalaugh
moi aussi,me too
je pars ca devient dangereux ici pas de betises aypeepoleave,i am leaving this place and it is dangerous
en vrai les dernieres revelation sur cassie m'ont foutu le seum j'avais devine un truc mais avec tout ce qui a suivi apres j'ai meme pas pu m'en rejouir,in fact the last revelation on cassie gave me a second guess but with everything that followed i could not even enjoy it again
ouais globalement,yeah overall
sunny daeron,sunny daeron
moi perso c'est le passage complet pas que la partie combat que je retiens en positif genre la tension qu'il y'avais a ce moment c'etait dingue,me perso is the complete passage not that the part fighting that i hold positive like the tension that there was at that time was crazy
bof lui,i do not know
dans sao,in sao
sunny et nephis contre la panthere la,and nephis against the panther
sunny morgan un des meilleurs aussi,sunny morgan one of the best too
ou sunny vs nephis dans la tour,or sunny vs nephis in the tower
dans le temple,in the temple
le premier,the first
ouep moi aussi mais franchement les seuls combats qui m'ont donnes autant de frissons en lisant c'est sunnynephis au sommet de la tour au rivage oublie et le bete hivernale de falcon scott,i too but frankly the only fights that gave me so much thrill reading it is sunnynephis at the top of the tower at the shore forgets and the winter beast of falcon scott
jpense mon fav reste le combat vs mordret,jpense my fav remains fighting vs bitert
contre morgan,against morgan
c'est les preli du fight,it is the preli of the fight
les disparition et tout,and all
jparle de meme avant,i say the same before
apres combat,after combat
lo est bien mais il trop 'banal' y'en a bcp des combats comme ca,lo is good but there is too 'banal' bcp fighting like this
sunny vs nephis,sunny vs nephis
ya lo la,there you go
ya trop de fight bien pour le mettre top,there is too much fight good to put it top
faudrait que je relise pour faire un vrai classement,i would have to reread to make a real ranking
perso je l'ai classe top de l'oeuvre,personal i have classed it top of the work
mais bcp se regaler de nourriture nulle c'est moins bien que se regaler un peu de banger,but bcp enjoying no food is not as good as having a bit of a banger
son combat contre la sybille potentiellement un de mes combats pref,his fight against the sybille potentially one of my pref fights
elle va te regaler encore,she will still enjoy you
mais la dans ce eme cauchemar cassie m'a regale jusqu'a present et j'ai meme pas vu le plus gros,but in this same cassie nightmare i have enjoyed it so far and i have not even seen the biggest
ya des gens qui aiment bien faire des theories sur des trucs quils ont lu pour faire semblant detre malin,there are people who like to do theories about stuff they read to pretend to be smart
masterclass,masterclass
genre gray c'est la var il spawn kill les spoilers,like gray it is the var it spawn kill spoilers
httpstenorcomviewdicaprio-maybe-gif-,httpstenorcomviewdicaprio-maybe-gif-
je garde quand mm ma theorie de cote,i keep my odds theory when mm
donc voila,so here we go
mais il a acces a la payante pour eviter que des mecs spoil ici sous couvert de theorie,but he is got access to the paycheck to avoid just guys spoiling here under cover of theory
laisse faire les adultes,let adults do it
et ya chaps de differenterence entre la version premium et gratuite,and ya differentiating chaps between premium and free version
il traduit que les chaps gratuit,it translates that free chaps
tu voyage dans le temps,you travel in time
on a chap de retard,we are running late
comment t'en sort,how you get out
si l'auteur en sort,if the author proceeds
mais t'est juste un traducteur nn,but you are just a translator
hier de la part de g moi aujourd'hui de la part de g de ma part,yesterday from me today from g from me
donc quon fasse ou ca change rien au final,so we do or it does not change anything in the end
psq il en sort tout les jours quoi quil arrive,psq it comes out every day whatever happens
bon bref merci pour les chap gray,thank you for the chap gray
je comprend pas,i do not understand
et la auj y'en a que aussi,and there is only one
hier y'en avait,yesterday there was
non vu qu'hier c'etait chapitre et aujourd'hui,not since yesterday was chapter and today
sinon simple prop pour eviter les prises de tete avec un ecart de chp la publication fonctionnera toujours hors lapsus,if not simple prop to avoid head plugs with a chp deck the publication will always work out of lapsus
ses sa normalement aujourd'hui ses de nouveau dans l'ordre ses histoires de journee,his normally today his again in order his daily stories
j'ai jamais eu vent de autre chose,i have never heard of anything else
c'est ou chez g,is or at g
je dis pas le contraire,i am not saying otherwise
de toute facon ca s'equilibre d'une journee a l'autre,anyhow it is balanced from one day to the next
c'est logique mais g est passe a une phase ou il sort ses chapitre a plus de h du coup je comprends gray qui a la flemme d'attendre que sa sorte,it makes sense but g is going through a phase or he is going out his chapters at more than h of the time i understand gray who has the flemmer to wait for his kind
j'ai pas franchement envie que g vienne attraper la veste de gray tu vois,i do not really want g to come grab the gray jacket you see
oui ses sa rigole,yes his laugh
dcp ce soir un chap,dcp tonight a chap
ou meme si il n'y ai pas qu'il est un lien avec elle,or even if there is not a connection with her
c'est une theorie vachement possible,it is a hell of a theory
si on a aucune idee de la localisation d'asterion peut-etre qu'il est parti sur la lune pour proteger les colonies lunaires et en faire son domaine asterion c'est un nom un peu spatial je trouve asteroides astre,if we have no idea of the asterion localization maybe he went on the moon to protect the lunar colonies and make it his asterion domain it is a little spatial name i find asteroides astre
c'est juste que g poste ses chapitres mega tard en ce moment donc je poste avant lui et ca arrive qu'il poste chapitre et moi je ne suis pas encore devin donc je fais comme bon me semble,it is just that g post his chapters mega late right now so i post before him and it happens that he posts chapter and i am not guessing yet so i do as i see fit
genre aussi ya des creatures qui sont capables de voir quand les gens les regardent,like also there are creatures that are able to see when people look at them
plus un type d'attaque mentale,plus one type of mental attack
aussi ouai,also yeah
genre ca rend fou,like it drives crazy
parce que sinon ke nombre de civil qui depoperait,because if not the number of civilians who would depopulate
une sorte de souillure,a kind of defilement
ou avec la vue d'un mec puissant,or with the sight of a powerful guy
genre avec l'observatoire,gender with the observatory
mais en vrai je pense que c'est quand tu la regardes bien,but i really think it is when you look at her
quoique ouai,whatever
mais ca serait vraiment chaud,but it would be really hot
le pire c'est que c'est pas impossible,the worst part is that it is not impossible
httpstenorcomviewanime-moon-souleater-nature-horror-gif-,httpstenorcomviewanime-moon-souleater-nature-horror-gif-
lune be like,moon be like
en vrai je rigole qu'a moitie,in real life i laugh that half
putain,fucking
fun,fun
et si la lune n'etait pas devenu une creature du cauchemar,and if the moon had not become a creation of the nightmare
le wiki m'a aide a retrouver,wiki helped me find
ca m'a rendu fou ptn,it made me crazy
j'y avais pas penser,i did not think about it
ah gg,ah gg
trouve au chap quand ca montre que toutes les creatures se tournent vers le nord,find in the chap when it shows that all the creatures turn north
meme dans les coms ca s'est pose la question donc j'suis pas fou,even in the coms that is the question so i am not crazy
j'ai cherche quand ils mentionnaient tout les creatures les plus puissantes du centre de l'antarctique et pas trouve ptn,i looked when they mentioned all the most powerful creatures in the center of the antarctic and not found ptn
chap apparition de goliath j'ai pas trouve nn plus,chap appearance of goliath i did not find nn plus
donc peut etre que je l'ai loupe peut etre que c'etait sur la route cotiere ou peut etre que c'etait juste une erreur,so maybe i missed it maybe it was on the side road or maybe it was just a mistake
chap apparition de goliath a fs j'ai vu aucune mention,chap appearance of goliath a fs i saw no mention
vsy bonne chance pour retrouver l'extrait moi je vais dormir,vsy good luck finding the extract i am going to sleep
je me permet de corriger,i allow myself to correct
chap de chute,fall chapter
kappa,kappa
mais nan la chute de falcon scott,but nan the fall of falcon scott
notre sauveur,our savior
bonne chance soldat,good luck soldier
le chap antarctique etait bien long en plus,the antarctic chapter was long in addition
j'y vais tkt,i am going to go tkt
ouai mais il y a que la ou il peut le faire et quand sunny le stop la premiere fois il parle pas de fermer l'oeil,yeah but there is only one where he can do it and when sunny stops the first time he talks about closing his eye
flemme de rechercher l'extrait,flemme to look for the extract
je me souvenais qu'il fermais son oeil a la lune,i remembered he was closing his eye to the moon
ah je confonds peut-etre,maybe i am confused
bah justement c'est pas le moment ou il ouvre son oeil,well it is not the time he opens his eye
peut etre un fore shadowing d'autre chose,may be a shadwing drill of something else
donc c surement autre chose de plus important,so maybe something more important
quand il pop devant falcon scott,when he pops in front of falcon scott
au debut je pensais que ca avait un rapport avec le point faible de goliath mais pas du tout,at the beginning i thought it had something to do with the weak point of goliath but not at all
ca oui,yeah
avec goliath,with goliath
ya un truc que j'ai du zaper encore,there is something i had to zaper again
et obel l'avait dit ne pas regarder la lune,and obel said not to look at the moon
g laisse pas souvent des details pour rien alors je me demandais pk le titan arrive et il cache son oeil pour pas regarder la lune,g do not often leave details for nothing so i was wondering pk the titan arrives and he hides his eye to not look at the moon
qui ferme son oeil a la lune,who closes his eye to the moon
le titan goliath,the titan goliath
ensuite,then
et que les premiers infecte venais des colonies lunaires,and that the first infected came from lunar colonies
ah oui ok,yeah okay
et il a dit d'eviter de regarder la lune,and he said to avoid watching the moon
obel,obel
un prof,a teacher
il faisait des etudes sur la lune avant,he was doing studies on the moon before
le prof mort do not j'ai oublie le nom,the dead teacher do not i forgot the name
j'ai oublie un truc je crois,i forgot something i think
qschose d'important en rapport,q something important in relation to
a oe le mystere avec la lune j'avais oublie,i forgot about the mystery with the moon
il va y avoir une partie un peu froide et une partie metalique avec une lune qui rend les choses bizarre,there is going to be a little cold part and a metalic part with a moon that makes things weird
nan stormsea c'etait subnautica deja je crois,nan stormsea it was subnautica already i think
donc je me demande si cv pas etre juste un ocean a la storm sea,so i wonder if cv not just be an ocean at the storm sea
car il va se transformer en region mais la region est plus petite que le vrai monde de base,because it will turn into a region but the region is smaller than the real basic world
ca va etre un monde tout pouri mdr,it is going to be a world that is going to be all rotten
a rien,nothing
mais honnetement le monde reel va ressembler a quoi dans le royaume des reves,but honestly the real world will look like what in the dream realm
a parr si une creature du cauchemar casse tout evidemment,to tell if a nightmare creation obviously breaks everything
il est deja a godgrave donc bon,he is already a godgrave so good
l'arbre il a plus de plot armor que la cohorte toute entiere je pense,the tree it has more plot armor than the entire cohort i think
si le monde reel est integre au rdr pas sur,if the real world is integrated into the rdr pas on
ca j'm'en fais pas perso,do not worry about it
ne me mets pas des idees comme ca en tete svp,do not give me ideas like that
laisse moi imaginer ma happy ending,let me imagine my happy ending
si il existe encore,if there is still
ouai mais fin d'oeuvre nephis qui recupere l'arbre en guise de tombe de sunny et sa famille euuh,yeah but end of work nephis that recovers the tree as a sunny grave and his family euuh
et dessus avec un s,and on top with a s
je me suis choque moi mm quand je me suis relu,i shocked myself mm when i looked up
son,sound
on peut juste pas encore comprendre son plan,we just cannot figure out his plan yet
nan il a le plot armor pour encore au moins chap,nan he has the plot armor for still at least chap
pour moi weaver est juste au dessus,for me weaver is right above
bien que en realite je le vois mal etre un dieu mais plus juste de rang divin,though in reality i see him badly being a god but more righteous of divine rank
ou mort fun,or death fun
sunny fin d'oeuvre je le vois plus en dieu du destin qu'en dieu de l'ombre,sunny end of work i see him more as god of destiny than as god of shadow
blc,blc
a tes risques et perils,at your risk and pearls
apres tu peux tjrs le ping pour savoir,then you can ping to know
c'est comme ca que je l'ai compris en tout cas,that is how i understood it anyway
okok,okay
ah il fait comme ca,he is like that
oui ya semaine ou jsp g a sorti le et le en mm temps,yes week or jsp g released on and on in mm time
bah y'en a auj,well there is already some
oui mais il me semblait qu'il suivait le rythme de l'auteur,yes but it seemed to me that he was following the author's rhythm
oe mais on est en fr ici,oe but we are fr here
en eng,eng
mais si il est sacre les loi du monde c'est sa chose,but if the law of the world is sacred it is his thing
attend mais ya qu'un seul chapitre qui est sorti aujourd'hui on est pas en decalage,wait but there is only one chapter that came out today we are not in trouble
peut etre que souverain t'as raison c pas assez,maybe sovereign you are right c not enough
les souverains defie litteralement les lois du monde,sovereigns literally defie the laws of the world
trop cheater pour un souverain,too much cheese for a sovereign
je pense fortement qu'un jour il pourra tisser des fils du destin,i strongly believe that one day he can weave sons of fate
mais honnetement ca m'etonnerai,but honestly it will surprise me
imagine juste genre il peut tisser des fils du destin pour les gens tout comme nephis peut implementer sa flamme de desir,just imagine like he can weave sons of destiny for people just like nephis can implement his flame of desire
destin,fate
a aucun rapport avec les ombres,has no relation to the shadows
et si le domaine du sunny une fois supreme,and if the domain of the sunny once supreme
tu viens de me faire penser a un truc,you just made me think of something
att att att,att att att
oe c possible comme neph avec hope,oe c possible as neph with hop
donc a la fin dieu de l'ombre peu probable,so to the end god of shadow unlikely
je pense plus l'histoire avancera plus sunny va se rapprocher de la lignee de weaver plutot que celle du dieu de l'ombre,i think the more the story will advance more sunny will get closer to the weaver line rather than that of the god of shadow
honnetement je pense pas,honestly i do not think so
a la limite dieu des ombres a la fin de l'histoire et encore c'est nul ca fait hyper cliche,to the godly limit of shadows at the end of the story and again it sucks that makes hyper click
on est passe de les ombres vous reconnaissent comme l'une des leurs a les ombres vous considerent l'un de leurs champions puis un truc dans le style les ombres vous reconnaissent comme leur maitre,we passed from the shadows recognize you as one of their shadows consider you one of their champions and then something in the shadow style recognizes you as their master
je pense pas qu'il va encore evoluer,i do not think he is going to expand again
genre roi des ombres empereur ou juste souverain des ombres,like king of shadows emperor or just ruler of shadows
apres seigneur des ombres vous pensez ca sera quoi le prochain titre,after lord of shadows you think it will be what the next title
httpstenorcomviewflattered-oh-you-fresh-prince-gif-,httpstenorcomviewflattered-oh-you-fresh-prince-gif-
et ta theorie avec la lanterne qui contient tout le domaine de l'ombre elle est pas bete,and your theory with the lantern that contains the whole domain of the shadow it is not stupid
httpstenorcomviewelmo-shrug-i do not know-i-do not-know-who-knows-gif-,httpstenorcomviewelmo-shrug-i do not know-i-do not-know-who-knows-gif-
enfin si sunny ne peut pas le deplacer avec la lanterne,finally if sunny cannot move it with the lantern
ca serait fortement probable,that would be highly probable
mais on sait pas si le fait de tp le temple va tp le domaine,but we do not know if the fact of tp the temple goes to the domain
oui il peut pas etre bouge,yes he cannot be moved
ca serait bcp plus smart de la part de sunny car sinon le domaine des qu'il est place il peut plus etre bouge nn,it would be bcp more smart from sunny because otherwise the domain of the place it is it can more be moved nn
donc en theorie si le domaine est juste sur le temple sans nom alors le domaine peut se deplacer avec,so in theory if the domain is just on the no name temple then the domain can move with
on sait pas ca,we do not know that
j'avais compris que le domaine etait pas a godrave mais juste sur le temple sans nom,i understood that the estate was not a godrave but just on the nameless temple
je pense pas qu'il bouge le domaine car jsp si c'est ca mais j'ai compris autrement,i do not think he is moving the domain because jsp if that is it but i understand otherwise
bah niveau en equivalent memoire,bah level in equivalent memory
je voulais dire classe,i meant class
classe,class
la lanterne est deja de rang divin tu veut qu'elle evolue en quoi,the lantern is already of divine rank you want it to evolve in what
il l'est,he is
meme s'il a l'air regulierement mise a jour,even if it looks regularly updated
peut-etre pas a jour le wiki,maybe not up to date the wiki
mais il reste des endroits ou il est marque transcendant quand meme,but there are still places where it is transcendent mark when even
t'as pas clique sur le current peut-etre pour ca,you did not click on the current one maybe for that
je me disais bien aussi que c'etait bizarre,i thought it was weird too
ouai il est passe supreme depuis,yeah he is been over since
ah fielon,ah fielon
imp,imp
sur le wiki ya marque qu'il est transcendant donc j'ai bug,on the wiki is brand it is transcendent so i bug
ou c'est moi qui ai fume,or i am the one who smoked
on est d'accord pipou imp chan est superieur,we agree pipo imp chan is superior
apres les royaumes sont fragmentes,after the kingdoms are fragmented
peut etre les montagnes creuses,can be hollow mountains
c'est pas le monde souterrain deja,it is not the underground world already
moi aussi je le pense,i think so too
j'allais dire qu'il trouvera peut-etre le reste dans le royaume de l'ombre mais quel partie du royaume des reves correspond au royaume de l'ombre,i was going to say that he might find the rest in the kingdom of shadow but what part of the kingdom of dreams corresponds to the kingdom of shadow
donc tant qu'il ne veut pas bouger de godgrave il va pas essayer,so as long as he does not want to move godgrave he is not going to try
oe mais il peut pas etre sur,o but he cannot be on
maintenant si vue que sunny est un saint et que sont attribut maitre des ombre a evoluer a seigneur des ombre je pense qu'il peut controler le domaine du moins le faire disparaitre et le faire reapparaitre depuis la lanterne,now so sighted that sunny is a saint and that are master attribute of shadows to the lord of shadows i think he can control the domain at least make it disappear and make it appear again from the lantern
et du coup c pour ca qu'il ne peut pas le faire ressortir,and then that is why he cannot bring him out
par contre theorie nulle la lanterne est le domaine complet de l'ombre mais sunny ne peut pas le recup pour l'instant lorsque le moment sera venu le rang de la lanterne evoluera,by contrast theory zero lantern is the complete domain of shadow but sunny can not the recovery for the moment when the time has come the rank of lantern evoluera
ah si ouai mais ca pas d'interet du coup,yeah but that is not an interest
oe donc je pense pas qu'il va essayer de le faire,o so i do not think he is going to try to do it
vous oubliez souvent a qui vous parler je suis la bibliographie de shadow slave feyfey,you often forget who to talk to you i am the bibliography of shadow slave feyfey
j't'avoue j'ai oublie,i confess i forgot
ah je pense pas alors maitre ou saint ca reste une ombre divine,i do not think so master or holy it remains a divine shadow
va falloir me montrer le passage parce que ca me dit rien,you are going to have to show me the pass because it does not ring a bell
